Message,Label,Score
chellum now too cool because all ready raining,LABEL_0,0.999153733253479
assalamualaikum… kalo ada no wasap aku hang terima yg pelik pelik hang jgn layan no wasap aku dh kena scammer aku skrg boleh telipon dgn sms sahaja aku dh buat report polis pukul tadi,LABEL_0,0.9986282587051392
dont make fun,LABEL_0,0.9990217685699463
dah,LABEL_0,0.9990979433059692
,LABEL_0,0.996321439743042
imsi,LABEL_0,0.9981454610824585
ok,LABEL_0,0.9989491105079651
modem is in good condition,LABEL_0,0.9973835349082947
mari bersembang di whatsapp ia cepat mudah dan selamat untuk membuat panggilan dan menghantar mesej secara percuma dapatkannya di url,LABEL_0,0.9981903433799744
resett semua hilang,LABEL_0,0.9988245368003845
mari bersembang di whatsapp ia cepat mudah dan selamat untuk membuat panggilan dan menghantar mesej secara percuma dapatkannya di url,LABEL_0,0.9981903433799744
imsi,LABEL_0,0.9981454610824585
ok,LABEL_0,0.9989491105079651
ussd,LABEL_0,0.9986409544944763
biar aa kt diaa,LABEL_0,0.9989702701568604
ussd,LABEL_0,0.9986409544944763
url,LABEL_0,0.9988653659820557
ussd,LABEL_0,0.9986409544944763
url,LABEL_0,0.9988653659820557
you have missed call j k fr rm r d pa j n n w dapatkan rm j k jb mx stop sms reply stop luelpzp,LABEL_1,0.8679566979408264
ak tungu dluar ruma kamu jak bang sebab dorang mahu balik juga nie bang yaa,LABEL_0,0.9983558058738708
devan a l kalaiselvan you have overdue amount pay to perbadanan pengurusan desa bukit dumbar maybank,LABEL_0,0.9938451051712036
imsi,LABEL_0,0.9981454610824585
jun h m s panasonic my home ip pwr v syscheck ok,LABEL_0,0.9975079298019409
url,LABEL_0,0.9988653659820557
ac e e ad cc b c dfdcc eedfac da f this sms is used to activate your mi service,LABEL_1,0.8626942038536072
url,LABEL_0,0.9988653659820557
ကို ဒါပဲ,LABEL_0,0.9971590042114258
hello,LABEL_0,0.998429000377655
hi suamiku i d like to add you as an emergency contact in my life app please tap to confirm url thanks,LABEL_0,0.9568672180175781
ye kot,LABEL_0,0.999065101146698
call baba,LABEL_0,0.9988304972648621
ac d aab e f df b eb d ee d e 用于激活小米服务,LABEL_0,0.9925974607467651
imsi,LABEL_0,0.9981454610824585
lucu la kauu,LABEL_0,0.998842179775238
mudah i m interested in your ad on mudah pangsapuri saga suria ampang untuk disewa please share more details with me,LABEL_0,0.9982775449752808
your credit has been added by phone total added rm your new balance rm,LABEL_1,0.5805940628051758
mu wayang je lebih xpayah nk tipu aku la celaka mu ingat je memang calake babi mu buat xpe mu ingat je,LABEL_0,0.997603714466095
pond suki,LABEL_0,0.9983659386634827
system armed,LABEL_0,0.9975659847259521
chan there near s palo org gila tu came hancur dapur shouts y rej,LABEL_0,0.9991100430488586
dh la sidak ramey lepak sblh ya,LABEL_0,0.9990890026092529
x,LABEL_0,0.9976970553398132
imsi,LABEL_0,0.9981454610824585
assalamualaikum,LABEL_0,0.996340811252594
imsi,LABEL_0,0.9981454610824585
bilik server ctm msn temperature standard normal deg c alarm,LABEL_1,0.9812186360359192
yeke,LABEL_0,0.9989849925041199
ussd,LABEL_0,0.9986409544944763
ussd,LABEL_0,0.9986409544944763
des are you well now i long time no see you hope you and your family good that s all i really haven t found mine can you pray me get a person truely care me if you don t want me follow you,LABEL_0,0.9990472197532654
你现在跟我说的 我没什么的,LABEL_0,0.9845154285430908
you have missed call j k fr rm r d pa j n n w dapatkan rm j k jb mx want out reply stop vpf ylev,LABEL_0,0.9775123000144958
abiy,LABEL_0,0.9988242983818054
ussd,LABEL_0,0.9986409544944763
ussd,LABEL_0,0.9986409544944763
xnk cte tntg wit ag syg,LABEL_0,0.998916745185852
ussd,LABEL_0,0.9986409544944763
အိပ်တော့မယ်,LABEL_0,0.9979516863822937
dkt kdai blok knp x bli mkn lg ke nk tman,LABEL_0,0.9930625557899475
ussd,LABEL_0,0.9986409544944763
emvrf westports my navios bahamas scn vu eta pl in mm crn c c c,LABEL_0,0.9987780451774597
cikai saya masuk air,LABEL_0,0.9978912472724915
ussd,LABEL_0,0.9986409544944763
ussd,LABEL_0,0.9986409544944763
url,LABEL_0,0.9988653659820557
ussd,LABEL_0,0.9986409544944763
system armed,LABEL_0,0.9975659847259521
ussd,LABEL_0,0.9986409544944763
