Message,Label,Score
chellum now too cool because all ready raining....,LABEL_0,0.9992988109588623
"assalamualaikum… kalo ada no wasap aku hang terima yg pelik pelik hang jgn layan.no wasap aku dh kena scammer,aku skrg boleh telipon dgn sms sahaja.aku dh buat report polis pukul 8 tadi",LABEL_0,0.9989339709281921
dont make fun,LABEL_0,0.9990217685699463
12 dah,LABEL_0,0.9989860653877258
168.5,LABEL_0,0.9934597015380859
imsi=502161048336743&uid=efb9b76a14bf3ae34fd182ead2c6c327&t=2&tl=wo2df,LABEL_1,0.9953174591064453
ok,LABEL_0,0.9989491105079651
modem is in good condition,LABEL_0,0.9973835349082947
"mari bersembang di whatsapp! ia cepat, mudah dan selamat untuk membuat panggilan dan menghantar mesej secara percuma. dapatkannya di https://whatsapp.com/dl/",LABEL_0,0.9655299186706543
resett semua hilang,LABEL_0,0.9988245368003845
"mari bersembang di whatsapp! ia cepat, mudah dan selamat untuk membuat panggilan dan menghantar mesej secara percuma. dapatkannya di https://whatsapp.com/dl/",LABEL_0,0.9655299186706543
imsi=502161046809709&uid=27df08cf23cb34d9b4060b120c0e58a5&t=2&tl=1g9lvf,LABEL_1,0.9959671497344971
ok,LABEL_0,0.9989491105079651
0#502161041685993#+601158600701,LABEL_1,0.9949835538864136
biar aa kt diaa ,LABEL_0,0.9989702701568604
0#502161041685993#+601158600701,LABEL_1,0.9949835538864136
https://whatsapp.com/dl/code=dwmg3r17uz?mode=tac,LABEL_1,0.9948951601982117
0#502161045598741#60143683576,LABEL_1,0.9936026930809021
https://whatsapp.com/dl/code=dwmg3r17uz?mode=tac,LABEL_1,0.9948951601982117
you have 2 missed call(2)  j..k8  fr66 rm.10 r3d pa0  j01n n0w!dapatkan rm  10 j8k.jb5.mx  stop sms? reply stop. 0luelpzp;,LABEL_1,0.9967196583747864
ak tungu dluar ruma kamu  jak bang sebab dorang mahu balik juga nie bang.. yaa,LABEL_0,0.9989093542098999
devan a/l kalaiselvan (118-8-3) you have overdue amount. pay to perbadanan pengurusan desa bukit dumbar. maybank 507031417232,LABEL_1,0.9960325360298157
imsi=502162064460195&uid=2decf432d5833acff0624bec22197bb2&t=2&tl=lpc3f,LABEL_1,0.9959383010864258
"16-jun-2025 23h59m59s (panasonic) my (home)  100%, ip: 133,184,8,130, pwr 12.26v syscheck ok",LABEL_1,0.996658205986023
https://whatsapp.com/dl/code=dwmg3r17uz?mode=tac,LABEL_1,0.9948951601982117
ac/15e46e0182ad32839cc427b7c2dfdcc4:684eedfac5da511f/8:this sms is used to activate your mi service,LABEL_1,0.9970294237136841
https://whatsapp.com/dl/code=dwmg3r17uz?mode=tac,LABEL_1,0.9948951601982117
ကို ဒါပဲ,LABEL_0,0.9971590042114258
hello,LABEL_0,0.998429000377655
"hi suamiku,  i'd like to add you as an emergency contact in my life360 app.  please tap to confirm. https://app.life360.com/e?c=2c86bc7d   thanks!",LABEL_1,0.9970327615737915
ye kot,LABEL_0,0.999065101146698
call baba,LABEL_0,0.9988304972648621
ac/d92aab90e044f4df5b4eb1788791d184:684ee2d5621e2398/8:用于激活小米服务,LABEL_1,0.9960334897041321
imsi=502161046809709&uid=27df08cf23cb34d9b4060b120c0e58a5&t=2&tl=1g9lvf,LABEL_1,0.9959671497344971
lucu la kauu,LABEL_0,0.998842179775238
"mudah: i'm interested in your ad on mudah pangsapuri saga suria ampang untuk disewa, please share more details with me.",LABEL_0,0.9980422258377075
your credit has been added by 0177173373. total added:rm 500. your new balance:rm545.1778,LABEL_1,0.9961093068122864
mu wayang je lebih xpayah nk tipu aku la celaka mu ingat je memang calake babi mu buat xpe mu ingat je,LABEL_0,0.997603714466095
pond suki,LABEL_0,0.9983659386634827
<0991184> system armed,LABEL_1,0.9958932399749756
"chan, there near s' , palo, org gila tu came hancur dapur shouts, y rej,",LABEL_0,0.9991602897644043
dh la sidak ramey lepak sblh ya,LABEL_0,0.9990890026092529
x,LABEL_0,0.9976970553398132
imsi=502162065195716&uid=bf3d7623564f560cdd34fdb07279a927&t=2&tl=1aayhf,LABEL_1,0.9960384368896484
assalamualaikum,LABEL_0,0.996340811252594
imsi=502162065195716&uid=bf3d7623564f560cdd34fdb07279a927&t=2&tl=1aayhf,LABEL_1,0.9960384368896484
2025/06/14 05:47:45>(bilik server ctm msn) temperature standard->normal 25.90deg'c (alarm),LABEL_1,0.9959673881530762
yeke,LABEL_0,0.9989849925041199
1#502161047244173#+601158600701,LABEL_1,0.9949958324432373
1#502161047244173#60143683576,LABEL_1,0.9938867688179016
des are you well now. i long time no see you. hope you and your family good. that's all. i really haven't found mine. can you pray me get a person truely care me if you don't want me follow you.,LABEL_0,0.9991922974586487
你现在跟我说的 我没什么的,LABEL_0,0.9845154285430908
you have 2 missed call(2)  j..k8  fr66 rm.10 r3d pa0  j01n n0w!dapatkan rm  10 j8k.jb5.mx  want out? reply stop. vpf5ylev;,LABEL_1,0.9960206151008606
abiy,LABEL_0,0.9988242983818054
1#502161047244173#01115290117,LABEL_1,0.994236171245575
1#502161047244173#+601153752031,LABEL_1,0.994530975818634
xnk cte tntg wit ag syg,LABEL_0,0.998916745185852
1#502161047244173#169450213,LABEL_1,0.994621753692627
အိပ်တော့မယ်,LABEL_0,0.9979516863822937
"dkt kdai blok14,knp x bli mkn lg.ke nk tman,",LABEL_0,0.9957594275474548
1#502161047244173#+601116533452,LABEL_1,0.9943451881408691
"(emvrf) westports my: navios bahamas scn  : 255vu2 eta  : 14/06 0100 pl in: 16/06 0130 mm   : 3681 - 3940 crn  : c24,c25,c27",LABEL_1,0.996428906917572
cikai saya masuk air,LABEL_0,0.9978912472724915
1#502161047244173#01156540760,LABEL_1,0.9942368268966675
1#502161047244173#167056784,LABEL_1,0.9937980771064758
https://whatsapp.com/dl/code=dwmg3r17uz?mode=tac,LABEL_1,0.9948951601982117
1#502161047244173#60163471557,LABEL_1,0.9938361048698425
<0991184> system armed,LABEL_1,0.9958932399749756
1#502161047244173#+60107754923,LABEL_1,0.9943220615386963
ac/a1953238869c7a84dc1ca7855688caeb:684eed8098539cb5/6:mi,LABEL_1,0.9955706000328064
"greetings from doubletree by hilton johor ms. brenda! thank you for choosing to stay with us, and for being a valued hilton honors member. to make your check-in process as smooth and efficient as possible, we kindly ask for the following details: 1. your estimated time of arrival. 2.the names of all guests staying in the room (photo id required at check-in). 3.any room preferences, such as proximity to the lift, or a request for the same floor (subject to availability). 4. a deposit of rm150 per room per night, either by cash or credit card, to cover incidental expenses. smoking or vaping is strictly prohibited in the room. a cleaning fee of rm1000 per room will apply if this policy is violated. we?re excited to welcome you and ensure your stay is as comfortable as possible. we look forward to seeing you soon! emmylia, careline trainee",LABEL_1,0.9775723814964294
1#502161047244173#+601153752031,LABEL_1,0.994530975818634
ac/d92aab90e044f4df5b4eb1788791d184:684ee2d5621e2398/8:用于激活小米服务,LABEL_1,0.9960334897041321
"hi suamiku,  i'd like to add you as an emergency contact in my life360 app.  please tap to confirm. https://app.life360.com/e?c=2c86bc7d   thanks!",LABEL_1,0.9970327615737915
1#502161047244173#+601158600701,LABEL_1,0.9949958324432373
imsi=502161047424621&uid=752040adcf994acdd57fe84d150f204f&t=2&tl=1p93gf,LABEL_1,0.9957279562950134
1#502161047244173#60143683576,LABEL_1,0.9938867688179016
1#502161047244173#01115290117,LABEL_1,0.994236171245575
cukuplah abg menyayangi syg dan mencinati syg allah saja yg tahu....abg bersedih dua tiga hari ini,LABEL_0,0.9990453124046326
kenape tak boleh,LABEL_0,0.9990842342376709
leong chun tong 0123003831 serena hybrid silver bpn 3882,LABEL_1,0.9958835244178772
kenape tak boleh,LABEL_0,0.9990842342376709
1#502161047244173#+601116533452,LABEL_1,0.9943451881408691
leong chun tong 0123003831 serena hybrid silver bpn 3882,LABEL_1,0.9958835244178772
spe punye line yg teruk ni,LABEL_0,0.9988658428192139
1#502161047244173#169450213,LABEL_1,0.994621753692627
imsi=502161047424621&uid=752040adcf994acdd57fe84d150f204f&t=2&tl=1p93gf,LABEL_1,0.9957279562950134
your credit has been added by 0177173373. total added:rm 500. your new balance:rm545.1778,LABEL_1,0.9961093068122864
1#502161047244173#167056784,LABEL_1,0.9937980771064758
imei2 52357bd5ec9a9b8088c9226f49b9ed1420e5e0c0e019608b5bbdc54a863d8840d9e6b01fa32da77a37e5637be9b0c130663f0be456283b9fe34cc4215207b4ce,LABEL_0,0.9959611296653748
1#502161047244173#60163471557,LABEL_1,0.9938361048698425
tdi am pi tulis,LABEL_0,0.9990862607955933
1#502161047244173#01156540760,LABEL_1,0.9942368268966675
:),LABEL_0,0.9987807869911194
1#502161047244173#+60107754923,LABEL_1,0.9943220615386963
iyeelaaa,LABEL_0,0.9989519119262695
0#502162064122981#60143683576,LABEL_1,0.9937419295310974
0#502161045598741#+601158600701,LABEL_1,0.9949418902397156
